label,country,state,county,Event Start Date,Site.Ownership,Site.Access,Site.Classification,Site.Use,Survey.Class,Survey.Season,ANPA,CORA,COTO,COTOi,COTOp,COTOv,EPFU,LABO,LANO,MYAU,MYCA,MYCI,MYEV,MYGR,MYLU,MYSE,MYSO,MYSP,MYVE,PESU,TABR,UNKN,Total.Live,Total.Dead,Total.Bat.Count,vulnerable_c,vulnerable_p,Total.Species,h.density50,type,Event Type,Public,Number Affected,Event End Date,Species,release_date,status_season
Confirmed - Pos,USA,AL,Limestone,2/4/15,Private,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,No Data,,0,0,0,47.4711113,cave,,,,,,,
Confirmed - Pos,USA,AL,De Kalb,2/10/16,Private,Open-all year,Cave-undeveloped,Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,71,0,71,71,1,1,29.96364021,cave,,,,,,,
Confirmed - Pos,USA,AL,Franklin,3/5/16,Public,Open-all year,Cave-undeveloped,Hibernaculum,Active,2015-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,6,1,1,13.91768265,cave,,,,,,,
Confirmed - Pos,USA,AL,Shelby,2/27/17,Public,Open-all year,Cave-undeveloped,Hibernaculum,Active,2016-17,0,0,0,0,0,0,0,0,0,181,0,0,0,63,0,0,0,0,0,51,0,0,295,0,295,51,1,3,121.0413361,cave,,,,,,,
Pd not detected,USA,AL,Colbert,2/6/15,Private,Open-all year,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,600,0,600,600,1,1,22.83810043,cave,,,,,,,
Pd not detected,USA,AL,Covington,2/23/15,Public,Gated-breech,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,14,0,0,55,0,55,14,1,2,13.73486137,cave,,,,,,,
Pd not detected,USA,AL,Conecuh,2/23/15,Private,Open-all year,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,70,0,0,0,10,0,0,0,0,0,71,0,0,151,0,151,71,1,3,6.950426579,cave,,,,,,,
Pd not detected,USA,AL,Monroe,2/24/15,Public,Open-all year,Tunnel/culvert,Hibernaculum,Active,2014-15,0,0,0,0,0,0,2,0,0,915,0,0,0,0,0,0,0,0,0,116,0,0,1033,0,1033,116,1,3,4.980476856,manmade,,,,,,,
Pd not detected,USA,AL,Monroe,2/26/15,Private,Open-all year,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,18,0,0,283,0,283,18,1,2,7.47922039,cave,,,,,,,
Pd not detected,USA,AL,Monroe,2/26/15,Private,Open-all year,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,23,0,0,148,0,148,23,1,2,6.30636549,cave,,,,,,,
